"","Country","Code","EIU17VA","EIU17PV","EIU17GE","EIU17RQ","EIU17RL","EIU17CC","EIU16VA","EIU16PV","EIU16GE","EIU16RQ","EIU16RL","EIU16CC","EIU15VA","EIU15PV","EIU15GE","EIU15RQ","EIU15RL","EIU15CC","EIU14VA","EIU14PV","EIU14GE","EIU14RQ","EIU14RL","EIU14CC","EIU13VA","EIU13PV","EIU13GE","EIU13RQ","EIU13RL","EIU13CC","EIU12VA","EIU12PV","EIU12GE","EIU12RQ","EIU12RL","EIU12CC","EIU11VA","EIU11PV","EIU11GE","EIU11RQ","EIU11RL","EIU11CC","EIU10VA","EIU10PV","EIU10GE","EIU10RQ","EIU10RL","EIU10CC","EIU09VA","EIU09PV","EIU09GE","EIU09RQ","EIU09RL","EIU09CC","EIU08VA","EIU08PV","EIU08GE","EIU08RQ","EIU08RL","EIU08CC","EIU07VA","EIU07PV","EIU07GE","EIU07RQ","EIU07RL","EIU07CC","EIU06VA","EIU06PV","EIU06GE","EIU06RQ","EIU06RL","EIU06CC","EIU05VA","EIU05PV","EIU05GE","EIU05RQ","EIU05RL","EIU05CC","EIU04VA","EIU04PV","EIU04GE","EIU04RQ","EIU04RL","EIU04CC","EIU03VA","EIU03PV","EIU03GE","EIU03RQ","EIU03RL","EIU03CC","EIU02VA","EIU02PV","EIU02GE","EIU02RQ","EIU02RL","EIU02CC","EIU00VA","EIU00PV","EIU00GE","EIU00RQ","EIU00RL","EIU00CC","EIU98VA","EIU98PV","EIU98GE","EIU98RQ","EIU98RL","EIU98CC","EIU96VA","EIU96PV","EIU96GE","EIU96RQ","EIU96RL","EIU96CC"
"13","Burundi","BDI",0.242,"0.150","0.125","0.350","0.219","0.000",0.245,"0.100","0.125","0.350","0.219","0.000",0.25,"0.200","0.125","0.350","0.281","0.000",0.292,"0.300","0.125","0.350","0.313","0.000",0.296,"0.350","0.125","0.350","0.313","0.000",0.305,"0.350","0.000","0.350","0.313","0.000",0.326,"0.400","0.125","0.400","0.313","0.250","0.326","0.400","0.125","0.400","0.313","0.250","0.351","0.450","0.125","0.400","0.313","0.250","0.351","0.500","0.125","0.400","0.438","0.250","0.351","0.550","0.125","0.400","0.438","0.250","0.382","0.450","0.125","0.400","0.438","0.250","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"14","Belgium","BEL",0.827,"0.750","0.625","0.850","0.844","0.750",0.826,"0.750","0.625","0.850","0.844","0.750",0.834,"0.750","0.625","0.850","0.844","0.750",0.834,"0.750","0.500","0.800","0.844","0.750",0.84,"0.750","0.750","0.800","0.844","0.750",0.84,"0.750","0.750","0.800","0.844","0.750",0.84,"0.750","0.750","0.800","0.844","0.750","0.840","0.750","0.750","0.800","0.844","0.750","0.846","0.800","0.750","0.800","0.844","0.750","0.846","0.850","0.625","0.800","0.781","0.750","0.845","0.875","0.750","0.800","0.781","0.750","0.845","0.900","0.750","0.800","0.781","0.750","0.813","0.950","0.875","0.800","0.781","0.750","0.813","0.850","0.875","0.800","0.781","0.750","0.813","0.950","1.000","0.750","0.844","0.750","0.750","0.950","1.000","0.750","0.844","0.750","0.750","0.950","1.000","0.750","0.844","0.750","0.750","0.950","1.000","0.750","0.844","0.750","0.750","0.950","1.000","0.750","0.844","0.750"
"15","Benin","BEN",0.499,"0.600","0.125","0.400","0.281","0.250",0.502,"0.600","0.250","0.400","0.281","0.250",0.505,"0.600","0.250","0.400","0.281","0.250",0.501,"0.650","0.250","0.450","0.250","0.000",0.512,"0.650","0.250","0.450","0.250","0.000",0.519,"0.650","0.250","0.450","0.250","0.000",0.522,"0.650","0.250","0.450","0.250","0.000","0.527","0.650","0.250","0.450","0.250","0.000","0.522","0.700","0.250","0.450","0.281","0.000","0.491","0.650","0.250","0.400","0.406","0.250","0.558","0.750","0.250","0.400","0.406","0.250","0.558","0.750","0.250","0.400","0.406","0.250","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"16","Burkina Faso","BFA",0.425,"0.400","0.250","0.500","0.375","0.500",0.423,"0.350","0.250","0.500","0.375","0.500",0.423,"0.350","0.250","0.500","0.375","0.250",0.423,"0.400","0.250","0.550","0.406","0.000",0.426,"0.400","0.250","0.600","0.406","0.000",0.395,"0.400","0.250","0.650","0.406","0.000",0.398,"0.400","0.375","0.650","0.406","0.250","0.430","0.600","0.375","0.650","0.531","0.250","0.430","0.550","0.375","0.650","0.531","0.250","0.399","0.500","0.375","0.650","0.500","0.250","0.420","0.625","0.188","0.650","0.500","0.250","0.436","0.650","0.125","0.650","0.500","0.250","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"17","Bangladesh","BGD",0.365,"0.450","0.125","0.250","0.406","0.000",0.412,"0.350","0.125","0.250","0.438","0.000",0.412,"0.350","0.250","0.250","0.438","0.000",0.414,"0.350","0.250","0.250","0.438","0.000",0.418,"0.300","0.250","0.250","0.438","0.000",0.418,"0.300","0.250","0.250","0.375","0.000",0.418,"0.300","0.250","0.250","0.375","0.000","0.419","0.400","0.250","0.250","0.375","0.000","0.401","0.400","0.250","0.250","0.375","0.000","0.370","0.450","0.250","0.250","0.375","0.000","0.399","0.500","0.250","0.250","0.359","0.000","0.399","0.400","0.250","0.250","0.344","0.000","0.188","0.350","0.125","0.150","0.281","0.000","0.188","0.400","0.125","0.150","0.281","0.000","0.250","0.400","0.125","0.150","0.219","0.000","0.250","0.350","0.125","0.150","0.219","0.000","0.313","0.450","0.250","0.150","0.281","0.250","0.313","0.400","0.250","0.150","0.281","0.250","0.313","0.400","0.250","0.150","0.281","0.250"
"18","Bulgaria","BGR",0.633,"0.700","0.500","0.750","0.531","0.250",0.632,"0.700","0.500","0.750","0.531","0.250",0.638,"0.700","0.375","0.700","0.531","0.250",0.618,"0.650","0.250","0.700","0.531","0.250",0.623,"0.700","0.250","0.700","0.531","0.250",0.617,"0.750","0.250","0.700","0.531","0.250",0.62,"0.750","0.250","0.700","0.531","0.250","0.623","0.750","0.250","0.700","0.531","0.250","0.632","0.750","0.250","0.700","0.531","0.250","0.664","0.800","0.250","0.700","0.531","0.250","0.668","0.800","0.250","0.700","0.563","0.250","0.668","0.800","0.250","0.700","0.563","0.250","0.625","0.700","0.250","0.700","0.563","0.250","0.625","0.700","0.250","0.700","0.563","0.250","0.625","0.700","0.250","0.700","0.563","0.250","0.625","0.700","0.250","0.700","0.594","0.250","0.563","0.800","0.250","0.600","0.563","0.250","0.500","0.750","0.250","0.600","0.406","0.250","0.375","0.300","0.000","0.550","0.344","0.000"
"19","Bahrain","BHR",0.198,"0.250","0.500","0.550","0.625","0.500",0.202,"0.250","0.500","0.550","0.625","0.500",0.233,"0.250","0.500","0.550","0.625","0.500",0.237,"0.300","0.500","0.500","0.625","0.500",0.206,"0.300","0.500","0.500","0.625","0.500",0.189,"0.300","0.500","0.550","0.625","0.500",0.209,"0.350","0.500","0.550","0.625","0.500","0.300","0.450","0.500","0.550","0.656","0.500","0.294","0.400","0.500","0.550","0.656","0.500","0.294","0.400","0.500","0.550","0.656","0.500","0.302","0.350","0.500","0.550","0.688","0.500","0.302","0.350","0.500","0.550","0.688","0.500","0.250","0.250","0.500","0.550","0.688","0.500","0.313","0.250","0.500","0.550","0.688","0.500","0.250","0.350","0.500","0.550","0.688","0.500","0.250","0.400","0.500","0.450","0.688","0.500","0.188","0.550","0.500","0.450","0.469","0.250","0.188","0.400","0.500","0.450","0.469","0.250","0.188","0.300","0.500","0.450","0.344","0.250"
"20","Bahamas, The","BHS",0.625,"0.800","0.375","0.450","0.531","0.750",0.625,"0.800","0.500","0.450","0.531","0.750",0.688,"0.800","0.500","0.450","0.531","0.750",0.688,"0.850","0.500","0.450","0.531","0.750",0.688,"0.850","0.500","0.450","0.531","0.750",0.688,"0.850","0.500","0.550","0.531","0.750",0.688,"0.850","0.500","0.550","0.563","0.750","0.688","0.850","0.500","0.550","0.563","0.750","0.688","0.900","0.500","0.550","0.594","0.750","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"21","Bosnia and Herzegovina","BIH",0.4,"0.300","0.000","0.600","0.438","0.250",0.431,"0.300","0.000","0.450","0.438","0.250",0.429,"0.300","0.000","0.450","0.438","0.250",0.427,"0.300","0.000","0.450","0.438","0.250",0.439,"0.300","0.000","0.450","0.438","0.250",0.443,"0.300","0.000","0.450","0.438","0.250",0.45,"0.300","0.000","0.450","0.438","0.250","0.485","0.350","0.000","0.450","0.438","0.250","0.535","0.350","0.000","0.450","0.438","0.250","0.535","0.450","0.000","0.450","0.438","0.250","0.570","0.450","0.000","0.500","0.453","0.250","0.602","0.500","0.000","0.550","0.469","0.250","0.625","0.550","0.000","0.550","0.469","0.250","0.625","0.550","0.000","0.550","0.469","0.250","0.625","0.550","0.000","0.550","0.469","0.250","0.625","0.550","0.000","0.550","0.469","0.250","0.625","0.550","0.000","0.550","0.469","0.250","0.625","0.550","0.000","0.550","0.469","0.250","0.625","0.550","0.000","0.550","0.469","0.250"
"22","Belarus","BLR",0.188,"0.500","0.125","0.200","0.250","0.500",0.208,"0.500","0.125","0.200","0.250","0.500",0.212,"0.350","0.125","0.150","0.250","0.500",0.216,"0.400","0.125","0.150","0.250","0.500",0.183,"0.400","0.125","0.150","0.250","0.500",0.183,"0.400","0.125","0.150","0.250","0.500",0.189,"0.400","0.125","0.150","0.250","0.250","0.198","0.400","0.125","0.150","0.250","0.250","0.198","0.550","0.125","0.150","0.250","0.250","0.198","0.600","0.125","0.150","0.219","0.250","0.198","0.575","0.125","0.150","0.219","0.250","0.198","0.550","0.125","0.150","0.219","0.250","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"23","Belize","BLZ",0.625,"0.550","0.250","0.350","0.313","0.500",0.625,"0.550","0.250","0.350","0.313","0.500",0.625,"0.550","0.250","0.350","0.313","0.500",0.625,"0.550","0.250","0.350","0.313","0.500",0.625,"0.600","0.250","0.350","0.344","0.500",0.625,"0.600","0.250","0.350","0.344","0.500",0.625,"0.600","0.250","0.350","0.375","0.500","0.625","0.600","0.250","0.350","0.375","0.500","0.625","0.600","0.250","0.350","0.375","0.500","0.563","0.550","0.250","0.350","0.406","0.250","0.500","0.500","0.250","0.350","0.469","0.250","0.500","0.500","0.250","0.350","0.469","0.250","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"24","Bolivia","BOL",0.493,"0.450","0.125","0.350","0.250","0.250",0.5,"0.450","0.125","0.350","0.250","0.250",0.506,"0.450","0.125","0.350","0.250","0.250",0.508,"0.450","0.125","0.350","0.250","0.250",0.508,"0.450","0.125","0.350","0.219","0.250",0.511,"0.350","0.250","0.300","0.219","0.250",0.511,"0.400","0.250","0.300","0.219","0.250","0.515","0.400","0.250","0.300","0.219","0.250","0.526","0.400","0.250","0.300","0.250","0.250","0.526","0.350","0.250","0.400","0.281","0.250","0.518","0.300","0.250","0.400","0.281","0.250","0.518","0.300","0.250","0.400","0.281","0.250","0.375","0.350","0.125","0.550","0.375","0.000","0.375","0.350","0.125","0.600","0.438","0.000","0.375","0.350","0.375","0.600","0.469","0.000","0.375","0.400","0.375","0.600","0.469","0.000","0.438","0.550","0.375","0.600","0.469","0.250","0.438","0.650","0.375","0.600","0.469","0.250","0.375","0.500","0.500","0.600","0.469","0.000"
"25","Brazil","BRA",0.593,"0.600","0.375","0.500","0.469","0.250",0.595,"0.600","0.375","0.500","0.500","0.250",0.567,"0.550","0.375","0.500","0.500","0.250",0.588,"0.600","0.375","0.500","0.500","0.250",0.575,"0.600","0.375","0.500","0.500","0.250",0.606,"0.750","0.250","0.500","0.500","0.250",0.606,"0.750","0.250","0.500","0.500","0.250","0.606","0.750","0.250","0.600","0.500","0.250","0.588","0.750","0.250","0.600","0.469","0.250","0.588","0.750","0.250","0.600","0.469","0.250","0.588","0.750","0.250","0.600","0.422","0.250","0.588","0.750","0.250","0.600","0.406","0.250","0.438","0.750","0.250","0.650","0.406","0.250","0.375","0.750","0.250","0.650","0.406","0.250","0.375","0.750","0.250","0.650","0.406","0.250","0.375","0.700","0.250","0.600","0.438","0.250","0.438","0.800","0.250","0.650","0.469","0.250","0.375","0.550","0.250","0.750","0.469","0.250","0.375","0.600","0.250","0.750","0.469","0.250"
"26","Barbados","BRB",0.813,"0.850","0.500","0.500","0.625","1.000",0.813,"0.850","0.625","0.500","0.688","1.000",0.813,"0.850","0.625","0.500","0.688","1.000",0.813,"0.900","0.625","0.500","0.719","1.000",0.813,"0.900","0.625","0.500","0.719","1.000",0.813,"0.900","0.625","0.500","0.719","1.000",0.813,"0.900","0.625","0.500","0.719","1.000","0.813","0.900","0.625","0.500","0.719","0.750","0.813","1.000","0.625","0.500","0.719","0.750","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
